Ticker,Name,Exchange
INRAUD=X,INR/AUD,CCY
LKRDKK=X,LKR/DKK,CCY
SEKANG=X,SEK/ANG,CCY
CHFKGS=X,CHF/KGS,CCY
UGXMYR=X,UGX/MYR,CCY
CHFMWK=X,CHF/MWK,CCY
PLNXDR=X,PLN/XDR,CCY
TWDSAR=X,TWD/SAR,CCY
HKDCNH=X,HKD/CNH,CCY
RONCZK=X,RON/CZK,CCY
GHSSAR=X,GHS/SAR,CCY
BWPRON=X,BWP/RON,CCY
GBPSEK=X,GBP/SEK,CCY
HKDNZD=X,HKD/NZD,CCY
EUR-QAR.F,EUR/QAR,FRA
NZDPLN=X,NZD/PLN,CCY
CHFKHR=X,CHF/KHR,CCY
JPYKHR=X,JPY/KHR,CCY
CADMUR=X,CAD/MUR,CCY
CHFBRL=X,CHF/BRL,CCY
VEFCLP=X,VEF/CLP,CCY
THBCZK=X,THB/CZK,CCY
BWPISK=X,BWP/ISK,CCY
ZARANG=X,ZAR/ANG,CCY
